human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.9203,0.5674,0.9495,0.8716,0.9725,0.9688,0.9875
0.9203,0.5674,0.9512,0.8732,0.9712,0.9706,0.9873
0.9203,0.5674,0.9497,0.8717,0.9723,0.971,0.9866
0.9203,0.5674,0.9497,0.8754,0.9721,0.9712,0.9872
0.9203,0.5674,0.9518,0.8743,0.971,0.9714,0.9876
0.9203,0.5674,0.9499,0.8755,0.9731,0.9704,0.9868
0.9203,0.5674,0.9519,0.8754,0.9704,0.9692,0.9874
0.9203,0.5674,0.9524,0.8742,0.9699,0.9704,0.9876
0.9203,0.5674,0.9502,0.874,0.9713,0.9726,0.9868
0.9203,0.5674,0.9468,0.873,0.9724,0.9723,0.9877
